+05317,-004033;africa/abidjan ~~~~~~~~~~~~~~~~~~~~~~~~
+05550,-000200;africa/accra ~~~~~~~~~~~~~~~~~~~~~~~~~~
+09030,+038740;africa/addis ababa ~~~~~~~~~~~~~ +03:00
+36754,+003059;africa/algiers ~~~~~~~~~~~~~~~~~ +01:00
+15323,+038925;africa/asmara ~~~~~~~~~~~~~~~~~~ +03:00
+12639,-008003;africa/bamako ~~~~~~~~~~~~~~~~~~~~~~~~~
+04373,+018563;africa/bangui ~~~~~~~~~~~~~~~~~~ +01:00
+13453,-016578;africa/banjul ~~~~~~~~~~~~~~~~~~~~~~~~~
+11850,-015567;africa/bissau ~~~~~~~~~~~~~~~~~~~~~~~~~
-15786,+035006;africa/blantyre ~~~~~~~~~~~~~~~~ +02:00
-04268,+015292;africa/brazzaville ~~~~~~~~~~~~~ +01:00
-03383,+029367;africa/bujumbura ~~~~~~~~~~~~~~~ +02:00
+30044,+031236;africa/cairo ~~~~~~~~~~~~~~~~~~~ +02:00
+33533,-007583;africa/casablanca ~~~~~~~~~~~~~~ z_014.
+35892,-005354;africa/ceuta ~~~~~~~~~~~~~~~~~~~ z_015.
+09509,-013712;africa/conakry ~~~~~~~~~~~~~~~~~~~~~~~~
+14693,-017447;africa/dakar ~~~~~~~~~~~~~~~~~~~~~~~~~~
-06800,+039283;africa/dar es salaam ~~~~~~~~~~~ +03:00
+11500,+043000;africa/djibouti ~~~~~~~~~~~~~~~~ +03:00
+04050,+009700;africa/douala ~~~~~~~~~~~~~~~~~~ +01:00
+27154,-013203;africa/el aaiun ~~~~~~~~~~~~~~~~ z_021.
+08484,-013234;africa/freetown ~~~~~~~~~~~~~~~~~~~~~~~
-24658,+025912;africa/gaborone ~~~~~~~~~~~~~~~~ +02:00
-17829,+031052;africa/harare ~~~~~~~~~~~~~~~~~~ +02:00
-26204,+028046;africa/johannesburg ~~~~~~~~~~~~ +02:00
+04850,+031600;africa/juba ~~~~~~~~~~~~~~~~~~~~ +02:00
+00314,+032581;africa/kampala ~~~~~~~~~~~~~~~~~ +03:00
+15501,+032560;africa/khartoum ~~~~~~~~~~~~~~~~ +02:00
-01944,+030059;africa/kigali ~~~~~~~~~~~~~~~~~~ +02:00
-04325,+015322;africa/kinshasa ~~~~~~~~~~~~~~~~ +01:00
+06455,+003384;africa/lagos ~~~~~~~~~~~~~~~~~~~ +01:00
+00390,+009454;africa/libreville ~~~~~~~~~~~~~~ +01:00
+06132,+001223;africa/lome ~~~~~~~~~~~~~~~~~~~~~~~~~~~
-08838,+013234;africa/luanda ~~~~~~~~~~~~~~~~~~ +01:00
-11667,+027483;africa/lubumbashi ~~~~~~~~~~~~~~ +02:00
-15417,+028283;africa/lusaka ~~~~~~~~~~~~~~~~~~ +02:00
+03750,+008783;africa/malabo ~~~~~~~~~~~~~~~~~~ +01:00
-25967,+032583;africa/maputo ~~~~~~~~~~~~~~~~~~ +02:00
-29310,+027480;africa/maseru ~~~~~~~~~~~~~~~~~~ +02:00
-26317,+031133;africa/mbabane ~~~~~~~~~~~~~~~~~ +02:00
+02033,+045333;africa/mogadishu ~~~~~~~~~~~~~~~ +03:00
+06313,-010801;africa/monrovia ~~~~~~~~~~~~~~~~~~~~~~~
-01286,+036817;africa/nairobi ~~~~~~~~~~~~~~~~~ +03:00
+12110,+015050;africa/ndjamena ~~~~~~~~~~~~~~~~ +01:00
+13512,+002125;africa/niamey ~~~~~~~~~~~~~~~~~~ +01:00
+18086,-015979;africa/nouakchott ~~~~~~~~~~~~~~~~~~~~~
+12369,-001528;africa/ouagadougou ~~~~~~~~~~~~~~~~~~~~
+06497,+002605;africa/porto-novo ~~~~~~~~~~~~~~ +01:00
+00336,+006731;africa/sao tome ~~~~~~~~~~~~~~~~~~~~~~~
+32887,+013191;africa/tripoli ~~~~~~~~~~~~~~~~~ +02:00
+36806,+010182;africa/tunis ~~~~~~~~~~~~~~~~~~~ +01:00
-22570,+017084;africa/windhoek ~~~~~~~~~~~~~~~~ +02:00
+51872,-176636;america/adak ~~~~~~~~~~~~~~~~~~~ z_053.
+61217,-149900;america/anchorage ~~~~~~~~~~~~~~ z_054.
+18227,-063049;america/anguilla ~~~~~~~~~~~~~~~ -04:00
+17083,-061800;america/antigua ~~~~~~~~~~~~~~~~ -04:00
+12519,-070036;america/aruba ~~~~~~~~~~~~~~~~~~ -04:00
-07191,-048207;america/araguaina ~~~~~~~~~~~~~~ -03:00
-34603,-058382;america/argentina/buenos aires ~ -03:00
-28467,-065783;america/argentina/catamarca ~~~~ -03:00
-31417,-064183;america/argentina/cordoba ~~~~~~ -03:00
-24183,-065300;america/argentina/jujuy ~~~~~~~~ -03:00
-29413,-066854;america/argentina/la rioja ~~~~~ -03:00
-32883,-068817;america/argentina/mendoza ~~~~~~ -03:00
-51633,-069217;america/argentina/rio gallegos ~ -03:00
-24783,-065417;america/argentina/salta ~~~~~~~~ -03:00
-31534,-068526;america/argentina/san juan ~~~~~ -03:00
-33300,-066333;america/argentina/san luis ~~~~~ -03:00
-26940,-065340;america/argentina/tucuman ~~~~~~ -03:00
-54802,-068303;america/argentina/ushuaia ~~~~~~ -03:00
-25300,-057633;america/asuncion ~~~~~~~~~~~~~~~ z_071.
+48750,-091617;america/atikokan ~~~~~~~~~~~~~~~ -05:00
-12975,-038477;america/salvador bahia ~~~~~~~~~ -03:00
+20649,-105382;america/bahia de banderas ~~~~~~ -06:00
+13170,-059553;america/barbados ~~~~~~~~~~~~~~~ -04:00
-01456,-048504;america/belem ~~~~~~~~~~~~~~~~~~ -03:00
+17067,-088700;america/belize ~~~~~~~~~~~~~~~~~ -06:00
+51417,-057133;america/blanc sablon ~~~~~~~~~~~ -04:00
+02819,-060671;america/boa vista ~~~~~~~~~~~~~~ -04:00
+04711,-074072;america/bogota ~~~~~~~~~~~~~~~~~ -05:00
+43616,-116202;america/boise ~~~~~~~~~~~~~~~~~~ z_081.
+69114,-105053;america/cambridge bay ~~~~~~~~~~ z_082.
-20484,-054615;america/campo grande ~~~~~~~~~~~ -04:00
+21161,-086848;america/cancun ~~~~~~~~~~~~~~~~~ -05:00
+10481,-066904;america/caracas ~~~~~~~~~~~~~~~~ -04:00
+04937,-052326;america/cayenne ~~~~~~~~~~~~~~~~ -03:00
+19500,-080500;america/cayman ~~~~~~~~~~~~~~~~~ -05:00
+41882,-087628;america/chicago ~~~~~~~~~~~~~~~~ z_088.
+28635,-106089;america/chihuahua ~~~~~~~~~~~~~~ -06:00
+10000,-084000;america/costa rica ~~~~~~~~~~~~~ -06:00
+49098,-116510;america/creston ~~~~~~~~~~~~~~~~ -07:00
-15596,-056097;america/cuiaba ~~~~~~~~~~~~~~~~~ -04:00
+12183,-069000;america/curacao ~~~~~~~~~~~~~~~~ -04:00
+76767,-018667;america/danmarkshavn ~~~~~~~~~~~~~~~~~~
